Algorithm,DataType,Size,TimeMicroseconds,Comparisons
StandardQuickSort,Random,100,76.2,819
StandardMergeSort,Random,100,95.6,662
TernaryQuickSort,Random,100,46.4,630
StringMergeSort,Random,100,843.05,505
MSDRadixSort,Random,100,220.2,0
MSDRadixSortWithCutoff,Random,100,48.75,62
StandardQuickSort,Random,200,174.45,2184
StandardMergeSort,Random,200,207.05,1592
TernaryQuickSort,Random,200,101,1372
StringMergeSort,Random,200,1846.6,1161
MSDRadixSort,Random,200,478.85,0
MSDRadixSortWithCutoff,Random,200,122.25,215
StandardQuickSort,Random,300,266.1,3553
StandardMergeSort,Random,300,361.9,2742
TernaryQuickSort,Random,300,195.75,2724
StringMergeSort,Random,300,3002.95,1909
MSDRadixSort,Random,300,637,0
MSDRadixSortWithCutoff,Random,300,182.85,413
StandardQuickSort,Random,400,374.5,5107
StandardMergeSort,Random,400,491.2,3872
TernaryQuickSort,Random,400,255.85,3572
StringMergeSort,Random,400,4043.8,2647
MSDRadixSort,Random,400,911.95,0
MSDRadixSortWithCutoff,Random,400,226.6,671
StandardQuickSort,Random,500,474.35,6755
StandardMergeSort,Random,500,820.05,5371
TernaryQuickSort,Random,500,309.15,4274
StringMergeSort,Random,500,5018.45,3471
MSDRadixSort,Random,500,883.65,0
MSDRadixSortWithCutoff,Random,500,326.25,989
StandardQuickSort,Random,600,593.9,8763
StandardMergeSort,Random,600,756.4,6576
TernaryQuickSort,Random,600,395.7,5488
StringMergeSort,Random,600,8121.6,4335
MSDRadixSort,Random,600,1534.1,0
MSDRadixSortWithCutoff,Random,600,672.9,1310
StandardQuickSort,Random,700,878.8,9997
StandardMergeSort,Random,700,963,7934
TernaryQuickSort,Random,700,815.7,7696
StringMergeSort,Random,700,8309.1,5170
MSDRadixSort,Random,700,1165.1,0
MSDRadixSortWithCutoff,Random,700,470.4,1658
StandardQuickSort,Random,800,784.1,11705
StandardMergeSort,Random,800,1030.3,9279
TernaryQuickSort,Random,800,537.4,7457
StringMergeSort,Random,800,9021.2,6038
MSDRadixSort,Random,800,1357.4,0
MSDRadixSortWithCutoff,Random,800,517.8,2087
StandardQuickSort,Random,900,910.7,14042
StandardMergeSort,Random,900,1322.4,11345
TernaryQuickSort,Random,900,621.2,8565
StringMergeSort,Random,900,9808.5,6973
MSDRadixSort,Random,900,1456.2,0
MSDRadixSortWithCutoff,Random,900,582.2,2503
StandardQuickSort,Random,1000,1005.5,15097
StandardMergeSort,Random,1000,1469.3,12683
TernaryQuickSort,Random,1000,661.4,9071
StringMergeSort,Random,1000,11134.4,7879
MSDRadixSort,Random,1000,1644.9,0
MSDRadixSortWithCutoff,Random,1000,662.3,2914
StandardQuickSort,Random,1100,1133.7,17360
StandardMergeSort,Random,1100,1597.2,13964
TernaryQuickSort,Random,1100,818.1,11420
StringMergeSort,Random,1100,13057,8819
MSDRadixSort,Random,1100,1840.9,0
MSDRadixSortWithCutoff,Random,1100,732.3,3339
StandardQuickSort,Random,1200,1250.2,19620
StandardMergeSort,Random,1200,1758.7,15447
TernaryQuickSort,Random,1200,899.9,12411
StringMergeSort,Random,1200,14112.5,9759
MSDRadixSort,Random,1200,1973.8,0
MSDRadixSortWithCutoff,Random,1200,802.7,3794
StandardQuickSort,Random,1300,1789.6,22515
StandardMergeSort,Random,1300,2002.5,16917
TernaryQuickSort,Random,1300,938.5,12904
StringMergeSort,Random,1300,15145.7,10746
MSDRadixSort,Random,1300,2161.3,0
MSDRadixSortWithCutoff,Random,1300,955.2,4321
StandardQuickSort,Random,1400,1926.2,23960
StandardMergeSort,Random,1400,2660.3,18663
TernaryQuickSort,Random,1400,1005.4,13930
StringMergeSort,Random,1400,16469.4,11596
MSDRadixSort,Random,1400,2447.6,0
MSDRadixSortWithCutoff,Random,1400,970.3,4761
StandardQuickSort,Random,1500,1635.4,27335
StandardMergeSort,Random,1500,2223.1,20087
TernaryQuickSort,Random,1500,1139.6,15733
StringMergeSort,Random,1500,17977.3,12601
MSDRadixSort,Random,1500,2565.3,0
MSDRadixSortWithCutoff,Random,1500,1045.3,5241
StandardQuickSort,Random,1600,1744.3,29099
StandardMergeSort,Random,1600,2380.8,21650
TernaryQuickSort,Random,1600,1790.5,17288
StringMergeSort,Random,1600,18604.2,13532
MSDRadixSort,Random,1600,2850,0
MSDRadixSortWithCutoff,Random,1600,1136.8,5820
StandardQuickSort,Random,1700,1870.7,32277
StandardMergeSort,Random,1700,2523.8,23218
TernaryQuickSort,Random,1700,1372.2,18331
StringMergeSort,Random,1700,19833.6,14518
MSDRadixSort,Random,1700,2993.6,0
MSDRadixSortWithCutoff,Random,1700,1223.2,6366
StandardQuickSort,Random,1800,1997.6,33374
StandardMergeSort,Random,1800,4214.3,26268
TernaryQuickSort,Random,1800,1368.9,18333
StringMergeSort,Random,1800,21682.5,15536
MSDRadixSort,Random,1800,5476.1,0
MSDRadixSortWithCutoff,Random,1800,1484.6,6950
StandardQuickSort,Random,1900,2108.4,35290
StandardMergeSort,Random,1900,2908.3,27938
TernaryQuickSort,Random,1900,1525.5,20806
StringMergeSort,Random,1900,22369.7,16501
MSDRadixSort,Random,1900,3324.7,0
MSDRadixSortWithCutoff,Random,1900,1379.2,7527
StandardQuickSort,Random,2000,2210,37780
StandardMergeSort,Random,2000,3049.1,29631
TernaryQuickSort,Random,2000,1631.5,22646
StringMergeSort,Random,2000,23819.1,17523
MSDRadixSort,Random,2000,3527.9,0
MSDRadixSortWithCutoff,Random,2000,1457.2,8131
StandardQuickSort,Random,2100,2369.8,41022
StandardMergeSort,Random,2100,3181.7,31152
TernaryQuickSort,Random,2100,1661.3,23134
StringMergeSort,Random,2100,25421.8,18499
MSDRadixSort,Random,2100,3722.5,0
MSDRadixSortWithCutoff,Random,2100,1539.4,8612
StandardQuickSort,Random,2200,2459.9,42664
StandardMergeSort,Random,2200,3339.6,32648
TernaryQuickSort,Random,2200,1745.7,24685
